From	To	Species	Gene Name
NM_033001	GTF2I	Homo sapiens	general transcription factor IIi(GTF2I)
NM_033000	GTF2I	Homo sapiens	general transcription factor IIi(GTF2I)
NM_033007	NLRP1	Homo sapiens	NLR family pyrin domain containing 1(NLRP1)
NM_033006	NLRP1	Homo sapiens	NLR family pyrin domain containing 1(NLRP1)
NM_033004	NLRP1	Homo sapiens	NLR family pyrin domain containing 1(NLRP1)
NM_021030	ZNF14	Homo sapiens	zinc finger protein 14(ZNF14)
NM_033009	PCBP4	Homo sapiens	poly(rC) binding protein 4(PCBP4)
NM_033008	PCBP4	Homo sapiens	poly(rC) binding protein 4(PCBP4)
NM_021114	SPINK2	Homo sapiens	serine peptidase inhibitor Kazal type 2(SPINK2)
NM_021115	SEZ6L	Homo sapiens	seizure related 6 homolog like(SEZ6L)
NM_021116	ADCY1	Homo sapiens	adenylate cyclase 1(ADCY1)
NM_021110	COL14A1	Homo sapiens	collagen type XIV alpha 1 chain(COL14A1)
NM_021111	RECK	Homo sapiens	reversion inducing cysteine rich protein with kazal motifs(RECK)
NM_021117	CRY2	Homo sapiens	cryptochrome circadian regulator 2(CRY2)
NM_021126	MPST	Homo sapiens	mercaptopyruvate sulfurtransferase(MPST)
NM_021127	PMAIP1	Homo sapiens	phorbol-12-myristate-13-acetate-induced protein 1(PMAIP1)
NM_021120	DLG3	Homo sapiens	discs large MAGUK scaffold protein 3(DLG3)
NM_021121	EEF1B2	Homo sapiens	eukaryotic translation elongation factor 1 beta 2(EEF1B2)
NM_021123	GAGE7	Homo sapiens	G antigen 7(GAGE7)
NM_021128	POLR2L	Homo sapiens	RNA polymerase II, I and III subunit L(POLR2L)
NM_021129	PPA1	Homo sapiens	inorganic pyrophosphatase 1(PPA1)
NM_033102	SLC45A3	Homo sapiens	solute carrier family 45 member 3(SLC45A3)
NM_033101	LGALS12	Homo sapiens	galectin 12(LGALS12)
NM_033100	CDHR1	Homo sapiens	cadherin related family member 1(CDHR1)
NM_033106	GALP	Homo sapiens	galanin like peptide(GALP)
NM_033105	DNAJC5B	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C5 beta(DNAJC5B)
NM_033104	STON2	Homo sapiens	stonin 2(STON2)
NM_033103	RHPN2	Homo sapiens	rhophilin Rho GTPase binding protein 2(RHPN2)
NM_033109	PNPT1	Homo sapiens	polyribonucleotide nucleotidyltransferase 1(PNPT1)
NM_021130	PPIA	Homo sapiens	peptidylprolyl isomerase A(PPIA)
NM_033107	GTPBP10	Homo sapiens	GTP binding protein 10(GTPBP10)
NM_001083124	SPATA31A3	Homo sapiens	SPATA31 subfamily A member 3(SPATA31A3)
NM_021102	SPINT2	Homo sapiens	serine peptidase inhibitor, Kunitz type 2(SPINT2)
NM_021103	TMSB10	Homo sapiens	thymosin beta 10(TMSB10)
NM_021104	RPL41	Homo sapiens	ribosomal protein L41(RPL41)
NM_021105	PLSCR1	Homo sapiens	phospholipid scramblase 1(PLSCR1)
NM_021100	NFS1	Homo sapiens	NFS1 cysteine desulfurase(NFS1)
NM_021101	CLDN1	Homo sapiens	claudin 1(CLDN1)
NM_021107	MRPS12	Homo sapiens	mitochondrial ribosomal protein S12(MRPS12)
NM_021109	TMSB4X	Homo sapiens	thymosin beta 4 X-linked(TMSB4X)
NM_001024808	BCL7A	Homo sapiens	BAF chromatin remodeling complex subunit BCL7A(BCL7A)
NM_001024807	APLP1	Homo sapiens	amyloid beta precursor like protein 1(APLP1)
NM_001024809	RARA	Homo sapiens	retinoic acid receptor alpha(RARA)
NM_001024847	TGFBR2	Homo sapiens	transforming growth factor beta receptor 2(TGFBR2)
NM_001024845	SLC6A9	Homo sapiens	solute carrier family 6 member 9(SLC6A9)
NM_001024844	CD82	Homo sapiens	CD82 molecule(CD82)
NM_001024843	TNRC6B	Homo sapiens	trinucleotide repeat containing adaptor 6B(TNRC6B)
NM_153015	TMEM74	Homo sapiens	transmembrane protein 74(TMEM74)
NM_153013	NADK2	Homo sapiens	NAD kinase 2, mitochondrial(NADK2)
NM_153018	ZFP3	Homo sapiens	ZFP3 zinc finger protein(ZFP3)
NM_153020	RBM24	Homo sapiens	RNA binding motif protein 24(RBM24)
NM_153005	RIOK1	Homo sapiens	RIO kinase 1(RIOK1)
NM_153006	NAGS	Homo sapiens	N-acetylglutamate synthase(NAGS)
NM_153000	APCDD1	Homo sapiens	APC down-regulated 1(APCDD1)
NM_153001	PSMC4	Homo sapiens	proteasome 26S subunit, ATPase 4(PSMC4)
NM_153002	GPR156	Homo sapiens	G protein-coupled receptor 156(GPR156)
NM_153007	ODF4	Homo sapiens	outer dense fiber of sperm tails 4(ODF4)
NM_057180	VPS29	Homo sapiens	VPS29 retromer complex component(VPS29)
NM_057182	CCNE1	Homo sapiens	cyclin E1(CCNE1)
NM_057179	TWIST2	Homo sapiens	twist family bHLH transcription factor 2(TWIST2)
NM_057178	RFFL	Homo sapiens	ring finger and FYVE like domain containing E3 ubiquitin protein ligase(RFFL)
NM_057170	GIT2	Homo sapiens	GIT ArfGAP 2(GIT2)
NM_057175	NAA15	Homo sapiens	N-alpha-acetyltransferase 15, NatA auxiliary subunit(NAA15)
NM_057174	PEX16	Homo sapiens	peroxisomal biogenesis factor 16(PEX16)
NM_057177	PARD3B	Homo sapiens	par-3 family cell polarity regulator beta(PARD3B)
NM_057176	BSND	Homo sapiens	barttin CLCNK type accessory subunit beta(BSND)
NM_057168	WNT16	Homo sapiens	Wnt family member 16(WNT16)
NM_057167	COL6A3	Homo sapiens	collagen type VI alpha 3 chain(COL6A3)
NM_033199	UCN2	Homo sapiens	urocortin 2(UCN2)
NM_057169	GIT2	Homo sapiens	GIT ArfGAP 2(GIT2)
NM_033198	PIGS	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class S(PIGS)
NM_057160	ARTN	Homo sapiens	artemin(ARTN)
NM_057162	KLHL4	Homo sapiens	kelch like family member 4(KLHL4)
NM_057161	KLHDC3	Homo sapiens	kelch domain containing 3(KLHDC3)
NM_057164	COL6A3	Homo sapiens	collagen type VI alpha 3 chain(COL6A3)
NM_057166	COL6A3	Homo sapiens	collagen type VI alpha 3 chain(COL6A3)
NM_057165	COL6A3	Homo sapiens	collagen type VI alpha 3 chain(COL6A3)
NM_057157	CYP26A1	Homo sapiens	cytochrome P450 family 26 subfamily A member 1(CYP26A1)
NM_057159	LPAR1	Homo sapiens	lysophosphatidic acid receptor 1(LPAR1)
NM_057158	DUSP4	Homo sapiens	dual specificity phosphatase 4(DUSP4)
NM_021197	WFDC1	Homo sapiens	WAP four-disulfide core domain 1(WFDC1)
NM_021198	CTDSP1	Homo sapiens	CTD small phosphatase 1(CTDSP1)
NM_021199	SQOR	Homo sapiens	sulfide quinone oxidoreductase(SQOR)
NM_001142287	SEMA4D	Homo sapiens	semaphorin 4D(SEMA4D)
NM_033182	FBXO44	Homo sapiens	F-box protein 44(FBXO44)
NM_033181	CNR1	Homo sapiens	cannabinoid receptor 1(CNR1)
NM_001142286	SMC6	Homo sapiens	structural maintenance of chromosomes 6(SMC6)
NM_001142285	RPS24	Homo sapiens	ribosomal protein S24(RPS24)
NM_033180	OR51B2	Homo sapiens	olfactory receptor family 51 subfamily B member 2(OR51B2)
NM_001142284	RPS24	Homo sapiens	ribosomal protein S24(RPS24)
NM_033184	KRTAP2-4	Homo sapiens	keratin associated protein 2-4(KRTAP2-4)
NM_001142289	MGRN1	Homo sapiens	mahogunin ring finger 1(MGRN1)
NM_001142288	EMC8	Homo sapiens	ER membrane protein complex subunit 8(EMC8)
NM_033183	CGB8	Homo sapiens	chorionic gonadotropin subunit beta 8(CGB8)
NM_033179	OR51B4	Homo sapiens	olfactory receptor family 51 subfamily B member 4(OR51B4)
NM_033177	GPANK1	Homo sapiens	G-patch domain and ankyrin repeats 1(GPANK1)
NM_001142281	ARCN1	Homo sapiens	archain 1(ARCN1)
NM_001142298	SQSTM1	Homo sapiens	sequestosome 1(SQSTM1)
NM_033191	KRTAP9-4	Homo sapiens	keratin associated protein 9-4(KRTAP9-4)
NM_001142296	SPART	Homo sapiens	spartin(SPART)
NM_001142295	SPART	Homo sapiens	spartin(SPART)
NM_033197	BPIFB1	Homo sapiens	BPI fold containing family B member 1(BPIFB1)
NM_033196	ZNF682	Homo sapiens	zinc finger protein 682(ZNF682)
NM_033195	LDHAL6B	Homo sapiens	lactate dehydrogenase A like 6B(LDHAL6B)
NM_001142299	SQSTM1	Homo sapiens	sequestosome 1(SQSTM1)
NM_033194	HSPB9	Homo sapiens	heat shock protein family B (small) member 9(HSPB9)
NM_001142290	MGRN1	Homo sapiens	mahogunin ring finger 1(MGRN1)
NM_001142294	SPART	Homo sapiens	spartin(SPART)
NM_001142293	ARFGAP3	Homo sapiens	ARF GTPase activating protein 3(ARFGAP3)
NM_001142292	LMAN2L	Homo sapiens	lectin, mannose binding 2 like(LMAN2L)
NM_001142291	MGRN1	Homo sapiens	mahogunin ring finger 1(MGRN1)
NM_021179	CCDC181	Homo sapiens	coiled-coil domain containing 181(CCDC181)
NM_021176	G6PC2	Homo sapiens	glucose-6-phosphatase catalytic subunit 2(G6PC2)
NM_021177	LSM2	Homo sapiens	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM2)
NM_021178	CCNB1IP1	Homo sapiens	cyclin B1 interacting protein 1(CCNB1IP1)
NM_033160	ZNF658	Homo sapiens	zinc finger protein 658(ZNF658)
NM_033164	FGF8	Homo sapiens	fibroblast growth factor 8(FGF8)
NM_001142269	GGCX	Homo sapiens	gamma-glutamyl carboxylase(GGCX)
NM_033163	FGF8	Homo sapiens	fibroblast growth factor 8(FGF8)
NM_033161	SURF4	Homo sapiens	surfeit 4(SURF4)
NM_033157	CALD1	Homo sapiens	caldesmon 1(CALD1)
NM_033159	HYAL1	Homo sapiens	hyaluronidase 1(HYAL1)
NM_033158	HYAL2	Homo sapiens	hyaluronidase 2(HYAL2)
NM_021183	RAP2C	Homo sapiens	RAP2C, member of RAS oncogene family(RAP2C)
NM_021184	C6orf47	Homo sapiens	chromosome 6 open reading frame 47(C6orf47)
NM_021185	CATSPERG	Homo sapiens	cation channel sperm associated auxiliary subunit gamma(CATSPERG)
NM_021180	GRHL3	Homo sapiens	grainyhead like transcription factor 3(GRHL3)
NM_021181	SLAMF7	Homo sapiens	SLAM family member 7(SLAMF7)
NM_021187	CYP4F11	Homo sapiens	cytochrome P450 family 4 subfamily F member 11(CYP4F11)
NM_021188	ZNF410	Homo sapiens	zinc finger protein 410(ZNF410)
NM_021189	CADM3	Homo sapiens	cell adhesion molecule 3(CADM3)
NM_001142276	APLP2	Homo sapiens	amyloid beta precursor like protein 2(APLP2)
NM_033171	B3GALT5	Homo sapiens	beta-1,3-galactosyltransferase 5(B3GALT5)
NM_033170	B3GALT5	Homo sapiens	beta-1,3-galactosyltransferase 5(B3GALT5)
NM_001142275	NIPA1	Homo sapiens	NIPA magnesium transporter 1(NIPA1)
NM_001142274	CLASP1	Homo sapiens	cytoplasmic linker associated protein 1(CLASP1)
NM_001142273	CLASP1	Homo sapiens	cytoplasmic linker associated protein 1(CLASP1)
NM_001142279	RNASEH2B	Homo sapiens	ribonuclease H2 subunit B(RNASEH2B)
NM_001142278	APLP2	Homo sapiens	amyloid beta precursor like protein 2(APLP2)
NM_033173	B3GALT5	Homo sapiens	beta-1,3-galactosyltransferase 5(B3GALT5)
NM_001142277	APLP2	Homo sapiens	amyloid beta precursor like protein 2(APLP2)
NM_033172	B3GALT5	Homo sapiens	beta-1,3-galactosyltransferase 5(B3GALT5)
NM_033168	B3GALNT1	Homo sapiens	beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)(B3GALNT1)
NM_033167	B3GALNT1	Homo sapiens	beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)(B3GALNT1)
NM_033165	FGF8	Homo sapiens	fibroblast growth factor 8(FGF8)
NM_001142272	RAB11FIP3	Homo sapiens	RAB11 family interacting protein 3(RAB11FIP3)
NM_001142271	DHRS9	Homo sapiens	dehydrogenase/reductase 9(DHRS9)
NM_001142270	DHRS9	Homo sapiens	dehydrogenase/reductase 9(DHRS9)
NM_033169	B3GALNT1	Homo sapiens	beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)(B3GALNT1)
NM_021193	HOXD12	Homo sapiens	homeobox D12(HOXD12)
NM_021194	SLC30A1	Homo sapiens	solute carrier family 30 member 1(SLC30A1)
NM_021195	CLDN6	Homo sapiens	claudin 6(CLDN6)
NM_021196	SLC4A5	Homo sapiens	solute carrier family 4 member 5(SLC4A5)
NM_021190	PTBP2	Homo sapiens	polypyrimidine tract binding protein 2(PTBP2)
NM_021192	HOXD11	Homo sapiens	homeobox D11(HOXD11)
NM_021158	TRIB3	Homo sapiens	tribbles pseudokinase 3(TRIB3)
NM_021159	RAP1GDS1	Homo sapiens	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)
NM_021153	CDH19	Homo sapiens	cadherin 19(CDH19)
NM_021154	PSAT1	Homo sapiens	phosphoserine aminotransferase 1(PSAT1)
NM_021155	CD209	Homo sapiens	CD209 molecule(CD209)
NM_021156	TMX4	Homo sapiens	thioredoxin related transmembrane protein 4(TMX4)
NM_033142	CGB7	Homo sapiens	chorionic gonadotropin subunit beta 7(CGB7)
NM_033141	MAP3K9	Homo sapiens	mitogen-activated protein kinase kinase kinase 9(MAP3K9)
NM_033140	CALD1	Homo sapiens	caldesmon 1(CALD1)
NM_033135	PDGFD	Homo sapiens	platelet derived growth factor D(PDGFD)
NM_033133	CNP	Homo sapiens	2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)
NM_033132	ZIC5	Homo sapiens	Zic family member 5(ZIC5)
NM_033139	CALD1	Homo sapiens	caldesmon 1(CALD1)
NM_033138	CALD1	Homo sapiens	caldesmon 1(CALD1)
NM_033137	FGF1	Homo sapiens	fibroblast growth factor 1(FGF1)
NM_033136	FGF1	Homo sapiens	fibroblast growth factor 1(FGF1)
NM_021160	ABHD16A	Homo sapiens	abhydrolase domain containing 16A, phospholipase(ABHD16A)
NM_021161	KCNK10	Homo sapiens	potassium two pore domain channel subfamily K member 10(KCNK10)
NM_021163	RBAK	Homo sapiens	RB associated KRAB zinc finger(RBAK)
NM_021168	RAB40C	Homo sapiens	RAB40C, member RAS oncogene family(RAB40C)
NM_021165	BRINP2	Homo sapiens	BMP/retinoic acid inducible neural specific 2(BRINP2)
NM_021167	GATAD1	Homo sapiens	GATA zinc finger domain containing 1(GATAD1)
NM_033151	ABCC11	Homo sapiens	ATP binding cassette subfamily C member 11(ABCC11)
NM_033150	COL2A1	Homo sapiens	collagen type II alpha 1 chain(COL2A1)
NM_033143	FGF5	Homo sapiens	fibroblast growth factor 5(FGF5)
NM_033148	DTNB	Homo sapiens	dystrobrevin beta(DTNB)
NM_033147	DTNB	Homo sapiens	dystrobrevin beta(DTNB)
NM_021173	POLD4	Homo sapiens	DNA polymerase delta 4, accessory subunit(POLD4)
NM_021174	CCAR2	Homo sapiens	cell cycle and apoptosis regulator 2(CCAR2)
NM_021170	HES4	Homo sapiens	hes family bHLH transcription factor 4(HES4)
NM_021135	RPS6KA2	Homo sapiens	ribosomal protein S6 kinase A2(RPS6KA2)
NM_021136	RTN1	Homo sapiens	reticulon 1(RTN1)
NM_021137	TNFAIP1	Homo sapiens	TNF alpha induced protein 1(TNFAIP1)
NM_021138	TRAF2	Homo sapiens	TNF receptor associated factor 2(TRAF2)
NM_021131	PTPA	Homo sapiens	protein phosphatase 2 phosphatase activator(PTPA)
NM_001144888	BAIAP2	Homo sapiens	BAR/IMD domain containing adaptor protein 2(BAIAP2)
NM_021132	PPP3CB	Homo sapiens	protein phosphatase 3 catalytic subunit beta(PPP3CB)
NM_001144889	SLC23A3	Homo sapiens	solute carrier family 23 member 3(SLC23A3)
NM_021133	RNASEL	Homo sapiens	ribonuclease L(RNASEL)
NM_021134	MRPL23	Homo sapiens	mitochondrial ribosomal protein L23(MRPL23)
NM_001144884	SLC30A7	Homo sapiens	solute carrier family 30 member 7(SLC30A7)
NM_001144885	CITED1	Homo sapiens	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1(CITED1)
NM_001144886	CITED1	Homo sapiens	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1(CITED1)
NM_001144887	CITED1	Homo sapiens	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1(CITED1)
NM_021139	UGT2B4	Homo sapiens	UDP glucuronosyltransferase family 2 member B4(UGT2B4)
NM_033120	NKD2	Homo sapiens	NKD inhibitor of WNT signaling pathway 2(NKD2)
NM_001144881	PRICKLE1	Homo sapiens	prickle planar cell polarity protein 1(PRICKLE1)
NM_001144882	PRICKLE1	Homo sapiens	prickle planar cell polarity protein 1(PRICKLE1)
NM_001144883	PRICKLE1	Homo sapiens	prickle planar cell polarity protein 1(PRICKLE1)
NM_033113	ZNF628	Homo sapiens	zinc finger protein 628(ZNF628)
NM_033112	RRP36	Homo sapiens	ribosomal RNA processing 36(RRP36)
NM_033111	N4BP2L2	Homo sapiens	NEDD4 binding protein 2 like 2(N4BP2L2)
NM_033110	GGACT	Homo sapiens	gamma-glutamylamine cyclotransferase(GGACT)
NM_033117	RBM18	Homo sapiens	RNA binding motif protein 18(RBM18)
NM_033116	NEK9	Homo sapiens	NIMA related kinase 9(NEK9)
NM_033115	TBCK	Homo sapiens	TBC1 domain containing kinase(TBCK)
NM_033114	ZCRB1	Homo sapiens	zinc finger CCHC-type and RNA binding motif containing 1(ZCRB1)
NM_021140	KDM6A	Homo sapiens	lysine demethylase 6A(KDM6A)
NM_033119	NKD1	Homo sapiens	NKD inhibitor of WNT signaling pathway 1(NKD1)
NM_021141	XRCC5	Homo sapiens	X-ray repair cross complementing 5(XRCC5)
NM_033118	MYLK2	Homo sapiens	myosin light chain kinase 2(MYLK2)
NM_021146	ANGPTL7	Homo sapiens	angiopoietin like 7(ANGPTL7)
NM_021147	CCNO	Homo sapiens	cyclin O(CCNO)
NM_021148	ZNF273	Homo sapiens	zinc finger protein 273(ZNF273)
NM_021149	COTL1	Homo sapiens	coactosin like F-actin binding protein 1(COTL1)
NM_001144899	CD209	Homo sapiens	CD209 molecule(CD209)
NM_021143	ZNF20	Homo sapiens	zinc finger protein 20(ZNF20)
NM_021144	PSIP1	Homo sapiens	PC4 and SRSF1 interacting protein 1(PSIP1)
NM_021145	DMTF1	Homo sapiens	cyclin D binding myb like transcription factor 1(DMTF1)
NM_001144895	CD209	Homo sapiens	CD209 molecule(CD209)
NM_001144896	CD209	Homo sapiens	CD209 molecule(CD209)
NM_001144897	CD209	Homo sapiens	CD209 molecule(CD209)
NM_001144891	MBIP	Homo sapiens	MAP3K12 binding inhibitory protein 1(MBIP)
NM_033131	WNT3A	Homo sapiens	Wnt family member 3A(WNT3A)
NM_001144892	FGF1	Homo sapiens	fibroblast growth factor 1(FGF1)
NM_033130	SIGLEC10	Homo sapiens	sialic acid binding Ig like lectin 10(SIGLEC10)
NM_001144893	CD209	Homo sapiens	CD209 molecule(CD209)
NM_001144894	CD209	Homo sapiens	CD209 molecule(CD209)
NM_033124	CCDC65	Homo sapiens	coiled-coil domain containing 65(CCDC65)
NM_033123	PLCZ1	Homo sapiens	phospholipase C zeta 1(PLCZ1)
NM_033122	CABS1	Homo sapiens	calcium binding protein, spermatid associated 1(CABS1)
NM_001144890	SLC23A3	Homo sapiens	solute carrier family 23 member 3(SLC23A3)
NM_033121	ANKRD13A	Homo sapiens	ankyrin repeat domain 13A(ANKRD13A)
NM_033128	SCIN	Homo sapiens	scinderin(SCIN)
NM_033127	SEC16B	Homo sapiens	SEC16 homolog B, endoplasmic reticulum export factor(SEC16B)
NM_033125	SLC22A16	Homo sapiens	solute carrier family 22 member 16(SLC22A16)
NM_021150	GRIP1	Homo sapiens	glutamate receptor interacting protein 1(GRIP1)
NM_021151	CROT	Homo sapiens	carnitine O-octanoyltransferase(CROT)
NM_033129	SCRT2	Homo sapiens	scratch family transcriptional repressor 2(SCRT2)
NM_001142327	DMTF1	Homo sapiens	cyclin D binding myb like transcription factor 1(DMTF1)
NM_021235	EPS15L1	Homo sapiens	epidermal growth factor receptor pathway substrate 15 like 1(EPS15L1)
NM_001142326	DMTF1	Homo sapiens	cyclin D binding myb like transcription factor 1(DMTF1)
NM_001142325	SLC18A1	Homo sapiens	solute carrier family 18 member A1(SLC18A1)
NM_021237	SELENOK	Homo sapiens	selenoprotein K(SELENOK)
NM_021231	CACTIN	Homo sapiens	cactin, spliceosome C complex subunit(CACTIN)
NM_001144989	ZNF814	Homo sapiens	zinc finger protein 814(ZNF814)
NM_021232	PRODH2	Homo sapiens	proline dehydrogenase 2(PRODH2)
NM_021233	DNASE2B	Homo sapiens	deoxyribonuclease 2 beta(DNASE2B)
NM_001144983	CCDC169	Homo sapiens	coiled-coil domain containing 169(CCDC169)
NM_001144984	CCDC169	Homo sapiens	coiled-coil domain containing 169(CCDC169)
NM_001144985	CCDC169	Homo sapiens	coiled-coil domain containing 169(CCDC169)
NM_001144986	CCDC169	Homo sapiens	coiled-coil domain containing 169(CCDC169)
NM_001142324	SLC18A1	Homo sapiens	solute carrier family 18 member A1(SLC18A1)
NM_021238	SINHCAF	Homo sapiens	SIN3-HDAC complex associated factor(SINHCAF)
NM_021239	RBM25	Homo sapiens	RNA binding motif protein 25(RBM25)
NM_001144981	CCDC169	Homo sapiens	coiled-coil domain containing 169(CCDC169)
NM_001144982	CCDC169	Homo sapiens	coiled-coil domain containing 169(CCDC169)
NM_033212	CCDC102A	Homo sapiens	coiled-coil domain containing 102A(CCDC102A)
NM_033211	MACIR	Homo sapiens	macrophage immunometabolism regulator(MACIR)
NM_033210	ZNF502	Homo sapiens	zinc finger protein 502(ZNF502)
NM_033215	PPP1R3F	Homo sapiens	protein phosphatase 1 regulatory subunit 3F(PPP1R3F)
NM_033214	GK2	Homo sapiens	glycerol kinase 2(GK2)
NM_033213	ZNF670	Homo sapiens	zinc finger protein 670(ZNF670)
NM_033219	TRIM14	Homo sapiens	tripartite motif containing 14(TRIM14)
NM_021240	DMRT3	Homo sapiens	doublesex and mab-3 related transcription factor 3(DMRT3)
NM_001142339	GNAL	Homo sapiens	G protein subunit alpha L(GNAL)
NM_021245	MYOZ1	Homo sapiens	myozenin 1(MYOZ1)
NM_021246	LY6G6D	Homo sapiens	lymphocyte antigen 6 family member G6D(LY6G6D)
NM_021247	PRM3	Homo sapiens	protamine 3(PRM3)
NM_021248	CDH22	Homo sapiens	cadherin 22(CDH22)
NM_021241	WIZ	Homo sapiens	WIZ zinc finger(WIZ)
NM_001144999	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
NM_021242	MID1IP1	Homo sapiens	MID1 interacting protein 1(MID1IP1)
NM_021243	ABRACL	Homo sapiens	ABRA C-terminal like(ABRACL)
NM_021244	RRAGD	Homo sapiens	Ras related GTP binding D(RRAGD)
NM_001144994	C2orf72	Homo sapiens	chromosome 2 open reading frame 72(C2orf72)
NM_001144995	CCDC85C	Homo sapiens	coiled-coil domain containing 85C(CCDC85C)
NM_001144996	ITGA7	Homo sapiens	integrin subunit alpha 7(ITGA7)
NM_001144997	ITGA7	Homo sapiens	integrin subunit alpha 7(ITGA7)
NM_001144990	NWD2	Homo sapiens	NACHT and WD repeat domain containing 2(NWD2)
NM_021249	SNX6	Homo sapiens	sorting nexin 6(SNX6)
NM_001142334	RBFOX1	Homo sapiens	RNA binding fox-1 homolog 1(RBFOX1)
NM_001142333	RBFOX1	Homo sapiens	RNA binding fox-1 homolog 1(RBFOX1)
NM_033223	GABRG3	Homo sapiens	gamma-aminobutyric acid type A receptor subunit gamma3(GABRG3)
NM_033222	PSIP1	Homo sapiens	PC4 and SRSF1 interacting protein 1(PSIP1)
NM_033221	TRIM14	Homo sapiens	tripartite motif containing 14(TRIM14)
NM_033220	TRIM14	Homo sapiens	tripartite motif containing 14(TRIM14)
NM_033227	TRIM23	Homo sapiens	tripartite motif containing 23(TRIM23)
NM_033226	ABCC12	Homo sapiens	ATP binding cassette subfamily C member 12(ABCC12)
NM_033225	CSMD1	Homo sapiens	CUB and Sushi multiple domains 1(CSMD1)
NM_033224	PURB	Homo sapiens	purine rich element binding protein B(PURB)
NM_033229	TRIM15	Homo sapiens	tripartite motif containing 15(TRIM15)
NM_021250	LILRA5	Homo sapiens	leukocyte immunoglobulin like receptor A5(LILRA5)
NM_033228	TRIM23	Homo sapiens	tripartite motif containing 23(TRIM23)
NM_021251	CAPN10	Homo sapiens	calpain 10(CAPN10)
NM_001144969	NEDD4L	Homo sapiens	NEDD4 like E3 ubiquitin protein ligase(NEDD4L)
NM_001142306	SPATA31J1	Homo sapiens	SPATA31 subfamily J member 1(SPATA31J1)
NM_001142305	ZNF771	Homo sapiens	zinc finger protein 771(ZNF771)
NM_021213	PCTP	Homo sapiens	phosphatidylcholine transfer protein(PCTP)
NM_021214	ABHD17C	Homo sapiens	abhydrolase domain containing 17C, depalmitoylase(ABHD17C)
NM_001142303	MS4A2	Homo sapiens	membrane spanning 4-domains A2(MS4A2)
NM_021215	RPRD1B	Homo sapiens	regulation of nuclear pre-mRNA domain containing 1B(RPRD1B)
NM_001144965	NEDD4L	Homo sapiens	NEDD4 like E3 ubiquitin protein ligase(NEDD4L)
NM_001144966	NEDD4L	Homo sapiens	NEDD4 like E3 ubiquitin protein ligase(NEDD4L)
NM_001144967	NEDD4L	Homo sapiens	NEDD4 like E3 ubiquitin protein ligase(NEDD4L)
NM_021210	TRAPPC1	Homo sapiens	trafficking protein particle complex subunit 1(TRAPPC1)
NM_001142307	GTF2H1	Homo sapiens	general transcription factor IIH subunit 1(GTF2H1)
NM_001144968	NEDD4L	Homo sapiens	NEDD4 like E3 ubiquitin protein ligase(NEDD4L)
NM_021211	ZBED5	Homo sapiens	zinc finger BED-type containing 5(ZBED5)
NM_001144961	NFKBIL1	Homo sapiens	NFKB inhibitor like 1(NFKBIL1)
NM_001144962	NFKBIL1	Homo sapiens	NFKB inhibitor like 1(NFKBIL1)
NM_001144963	NFKBIL1	Homo sapiens	NFKB inhibitor like 1(NFKBIL1)
NM_001144964	NEDD4L	Homo sapiens	NEDD4 like E3 ubiquitin protein ligase(NEDD4L)
NM_021216	ZNF71	Homo sapiens	zinc finger protein 71(ZNF71)
NM_001142302	CFAP263	Homo sapiens	cilia and flagella associated protein 263(CFAP263)
NM_001142301	TMEM67	Homo sapiens	transmembrane protein 67(TMEM67)
NM_021217	ZNF77	Homo sapiens	zinc finger protein 77(ZNF77)
NM_001142300	CCNYL1	Homo sapiens	cyclin Y like 1(CCNYL1)
NM_021218	INIP	Homo sapiens	INTS3 and NABP interacting protein(INIP)
NM_021219	JAM2	Homo sapiens	junctional adhesion molecule 2(JAM2)
NM_001142317	TXNL4B	Homo sapiens	thioredoxin like 4B(TXNL4B)
NM_021223	MYL7	Homo sapiens	myosin light chain 7(MYL7)
NM_001142316	LMO2	Homo sapiens	LIM domain only 2(LMO2)
NM_021224	ZNF462	Homo sapiens	zinc finger protein 462(ZNF462)
NM_001142315	LMO2	Homo sapiens	LIM domain only 2(LMO2)
NM_021225	OPRPN	Homo sapiens	opiorphin prepropeptide(OPRPN)
NM_001142314	DUSP19	Homo sapiens	dual specificity phosphatase 19(DUSP19)
NM_021226	ARHGAP22	Homo sapiens	Rho GTPase activating protein 22(ARHGAP22)
NM_021220	OVOL2	Homo sapiens	ovo like zinc finger 2(OVOL2)
NM_001142319	WDCP	Homo sapiens	WD repeat and coiled coil containing(WDCP)
NM_001144978	MTHFD2L	Homo sapiens	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like(MTHFD2L)
